,suggestion,description,volumeReached,competition,costPerClick,source,published,url
,,https://www.yext.com/knowledge-center/local-business,5400,,,competitive,,
,,https://www.yext.com/knowledge-center/local-listings,900,,,competitive,,
,,https://www.yext.com/about,24000,,,competitive,,
,,https://www.yext.com/solutions/marketing/reputation-management,7600,,,competitive,,
,,https://www.yext.com/demo,2200,,,competitive,,
,,https://www.yext.com/platform/features/listing-management,1000,,,competitive,,
,,https://www.yext.com/resources/business-scan,200,,,competitive,,
,,https://www.yext.com/platform/features/competitive-intelligence,200,,,competitive,,
,,https://www.yext.com/de/blog/2020/08/18/ist-wahrheit-subjektiv-oder-objektiv,350,,,competitive,,
,,https://www.yext.com/platform/features/review-generation,250,,,competitive,,
,,https://www.yext.com/knowledge-center/directory-submission,80,,,competitive,,
,,https://www.yext.com/locations/hyderabad,400,,,competitive,,
,,https://www.yext.com/knowledge-center/local-pack,700,,,competitive,,
,,https://www.yext.com/knowledge-center/universal-search,600,,,competitive,,
,,https://www.yext.com/knowledge-center/local-rank-tracking,900,,,competitive,,
,,https://www.yext.com/integrations/publishers/insider-pages,350,,,competitive,,
,,https://www.yext.com/users/forgotpasswordconfirm,250,,,competitive,,
,,https://www.yext.com/platform/packages.html,900,,,competitive,,
,,https://www.yext.com/knowledge-center/local-seo,80,,,competitive,,
,,https://www.yext.com/blog/2021/10/what-are-specialized-search-engines,60,,,competitive,,
,,https://fibr.ai/tools/ai-bio-generator,6100,,,competitive,,
,,https://fibr.ai/tools/landing-page-analyzer,250,,,competitive,,
,,https://fibr.ai/tools/url-shortener,7200,,,competitive,,
,,https://fibr.ai/conversion-rate-optimization/cro-statistics,150,,,competitive,,
