type,title,img,link,description,cta,guide
niche,digital-marketing,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/People+don't+read+ads.+They+read+what+interests+them.+Sometimes+it's+an+ad.%E2%80%9D.png,https://www.marllm.io/en/digital-marketing,Unleash unstoppable campaigns to dominate your market and obliterate the competition with Marllm,Download The Ultimate digital marketing PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/compressed+Best+Brands+Search+Market+Report.pdf
slug,affiliate,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/TinyPNG+Compressed+(2)/27.png,https://www.marllm.io/en/digital-marketing/affiliate,Crush revenue ceilings with ruthless partnerships and elite affiliate programs,Get Top Best affiliate Marketing Guide,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Digital+Marketing+and+competitors+Report+%7C+marllm+1st+steps+brochure+.pdf
slug,brand,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/TinyPNG+Compressed+(2)/27.png,https://www.marllm.io/en/digital-marketing/brand,Supercharge your brand’s expansion with the ultimate brand awareness battle plan,Get Instant Brand Authority Boost PDF,https://pitch.com/v/why-organic-content-campaigns-should-be-the-foundation-in-2025-f53wcs
slug,tips,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/infinite.png,https://www.marllm.io/en/digital-marketing/tips,Grab your free digital marketing productivity guide—because efficiency fuels success,Free Digital Marketing PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Search+Marketing+rich+guide.pdf
slug,customer-acquisition,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/TinyPNG+Compressed+(2)/28.png,https://www.marllm.io/en/digital-marketing/customer-acquisition,"Tap into an audience bigger than ever—attract, convert, and keep them locked in with",Exact Customer Acquisition Guide PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Digital+Marketing+and+competitors+Report+%7C+marllm+1st+steps+brochure+.pdf
slug,sales,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/TinyPNG+Compressed+(2)/26.png,https://www.marllm.io/en/digital-marketing/sales,Engineered for maximum conversions—custom strategies to skyrocket sales,Download The Full Sales Marketing PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/compressed+Best+Brands+Search+Market+Report.pdf
slug,seo,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/People+don't+read+ads.+They+read+what+interests+them.+Sometimes+it's+an+ad.%E2%80%9D.png,https://www.marllm.io/en/digital-marketing/seo,Dominate search rankings—optimize your content and structure for massive visibility,Future-proof  SEO with This Guide PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/compressed+Best+Brands+Search+Market+Report.pdf
slug,products,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/warmLeads.webp,https://www.marllm.io/en/digital-marketing/products,"Equip yourself with the best tools to stay ahead—no compromises, just results",download brochure,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Digital+Marketing+and+competitors+Report+%7C+marllm+1st+steps+brochure+.pdf
slug,healthcare,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/search-market-overview.png,https://www.marllm.io/en/digital-marketing/health,Download the full breakdown of cutting-edge digital marketing and sales for health brands,download health sector PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Health+Search+Market+Report.pdf
slug,real-estate,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/search-market-overview.png,https://www.marllm.io/en/digital-marketing/real-estate,Unlock the real estate industry’s best digital sales and marketing tactics—get the report,download real estate PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Real+Estate+Market+Report+A4.pdf
